ERROR: logging before google.Init: I0902 16:06:54.452671       1 resolver.go:85] Model ID gemini-3.8-flash-high not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0902 16:06:54.477327       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0902 16:06:54.477327      27 server.go:1491] Starting language server process with pid 72488
ERROR: logging before google.Init: I0902 16:06:54.478836      27 server.go:1544] Language server version: 1.1.24
ERROR: logging before google.Init: I0902 16:06:54.478836      27 server.go:585] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0902 16:06:54.488276      27 server.go:600] Language server listening on random port at 64832 for HTTPS (gRPC)
ERROR: logging before google.Init: I0902 16:06:54.488785      27 server.go:608] Language server listening on random port at 64833 for HTTP
ERROR: logging before google.Init: E0902 16:06:54.761877      49 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0902 16:06:54.761877      49 model_configs.go:62] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0902 16:06:54.763939      27 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.763939      27 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.763939      27 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.763939      27 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.764447      84 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.764447      84 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.764447      84 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.764447      84 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.764447      27 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.764447      27 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.764447      27 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.764970      27 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.764970      27 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.764970      27 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.764970      27 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.764970      27 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.766002      27 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0902 16:06:54.766649      92 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.766649      92 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.769196      27 defaults.go:771] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0902 16:06:54.769196      27 manager.go:108] Creating trajectory store manager with proto store and SQLite store
ERROR: logging before google.Init: W0902 16:06:54.771289      27 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.771808      27 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.771808      27 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.771808      27 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0902 16:06:54.771808      81 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0902 16:06:54.771808      81 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0902 16:06:54.771808      81 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0902 16:06:54.771808      81 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
ERROR: logging before google.Init: I0902 16:06:54.771808      81 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0902 16:06:54.771808      81 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
ERROR: logging before google.Init: I0902 16:06:54.771808      81 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0902 16:06:54.772333      81 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
ERROR: logging before google.Init: I0902 16:06:54.781343      27 server.go:2873] Auth succeeded, refreshing features and managers
ERROR: logging before google.Init: E0902 16:06:54.781343      27 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0902 16:06:54.781343      27 server.go:2879] State refresh took 0ms
ERROR: logging before google.Init: I0902 16:06:54.781343      27 server.go:2893] [RemoteControl] Subscription callback triggered.
ERROR: logging before google.Init: I0902 16:06:54.781343      27 server.go:2895] [RemoteControl] RemoteControlEnabled value: false
ERROR: logging before google.Init: I0902 16:06:54.781343      27 server.go:3387] [RemoteControl] CLI launched without --remote-control, staying disconnected
ERROR: logging before google.Init: I0902 16:06:54.781859      27 server.go:3205] [RemoteControl] Resolved proxyServerURL: ""
ERROR: logging before google.Init: I0902 16:06:54.782405      27 profiler.go:231] Continuous pprof profiling is disabled.
ERROR: logging before google.Init: I0902 16:06:54.782405     132 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0902 16:06:54.782405     132 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0902 16:06:54.782405     132 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0902 16:06:54.782405     132 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
ERROR: logging before google.Init: I0902 16:06:54.782405     132 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0902 16:06:54.782405     132 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
ERROR: logging before google.Init: I0902 16:06:54.782405     132 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0902 16:06:54.782405     132 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
ERROR: logging before google.Init: I0902 16:06:54.782405      27 server.go:2401] initialized server successfully in 304.0729ms
ERROR: logging before google.Init: W0902 16:06:54.783011     135 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.783011     135 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.783011     135 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.783011     135 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0902 16:06:54.798216       1 auto_updater.go:305] Spawned background update process with PID 54996
ERROR: logging before google.Init: I0902 16:06:54.799225       1 common.go:150] Launching CLI mode
ERROR: logging before google.Init: E0902 16:06:54.799225       1 launchsteps.go:84] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
ERROR: logging before google.Init: I0902 16:06:54.799225       1 common.go:172] CLI app data directory: C:\Users\lui_z\.gemini\antigravity-cli
ERROR: logging before google.Init: I0902 16:06:54.799225       1 server.go:289] Creating CLI server backend: product=antigravity workspaceDirs=[D:\9router] appDataDir=C:\Users\lui_z\.gemini\antigravity-cli cascadeManager=true codeAssist=true
ERROR: logging before google.Init: I0902 16:06:54.799771       1 auth_provider.go:755] [AuthProvider] SetEnableBusinessLogin called with enable: true
ERROR: logging before google.Init: W0902 16:06:54.801864     115 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.801864     115 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.801864     115 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.802392     115 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0902 16:06:54.802392       1 server.go:1922] Backend project ID updated dynamically to: default-cli-project
ERROR: logging before google.Init: I0902 16:06:54.802392       1 analytics.go:176] CLI startup completed (took 351.2319ms)
ERROR: logging before google.Init: I0902 16:06:54.802392       1 printmode.go:173] Print mode: starting (promptLength=4, model="gemini-3.8-flash-high", conversationID="")
ERROR: logging before google.Init: I0902 16:06:54.802392       1 manager.go:401] Initializing CLI store manager for workspace D:\9router
ERROR: logging before google.Init: W0902 16:06:54.802392     115 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.802392     115 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.802392     115 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.802392     115 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.802392     115 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.802911     115 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.802911     115 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.802911     115 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.802911     181 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.803472     181 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.803472     181 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.803472     181 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0902 16:06:54.803472       1 cli_setting_manager.go:156] applyUserSettings: no shared config permissions from C:\Users\lui_z\.gemini\config\config.json
ERROR: logging before google.Init: I0902 16:06:54.803472       1 cli_setting_manager.go:924] Skipping telemetry propagation because user is not logged in
ERROR: logging before google.Init: I0902 16:06:54.803472       1 cli_setting_manager.go:92] CLI settings initialized: permissions=&{Allow:[] Deny:[command(git push) command(git branch) command(git checkout -b) command(gh pr) command(git checkout -B)] Ask:[]}, toolPermission=always-proceed
ERROR: logging before google.Init: I0902 16:06:54.803472       1 manager.go:552] Applying agentMode from settings: accept-edits
ERROR: logging before google.Init: W0902 16:06:54.803472     115 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.803472     115 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.804004     115 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.804004     115 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.804004     165 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.804004     165 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.804004     165 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.804533     165 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0902 16:06:54.805064       1 hooks_manager.go:53] loaded 1 named hooks from 1 hooks.json file(s)
ERROR: logging before google.Init: I0902 16:06:54.805064       1 manager.go:574] CLI store manager initialized successfully
ERROR: logging before google.Init: I0902 16:06:54.805064       1 printmode.go:364] Print mode: not authenticated, trying silent auth
ERROR: logging before google.Init: I0902 16:06:54.811865     199 keyring.go:79] keyringAuth: loaded token, expiry=2026-09-02 17:06:12.3265593 -0300 -03 expired=false
ERROR: logging before google.Init: W0902 16:06:54.963673     153 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.963673     153 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0902 16:06:54.963673     153 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0902 16:06:54.963673     153 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
